palabra1,palabra2,compuesta,Clase
curry,cone,curry cone,0
roll,ordered,roll ordered,0
pastry,toasted,pastry toasted,0
asparagu,fried,asparagu fried,0
bite,beef,bite beef,0
chip,pickled,chip pickled,0
fried,fritter,fried fritter,1
dressing,dinner,dressing dinner,0
brisket,potato,brisket potato,0
french,mocha,french mocha,0
crispy,crab,crispy crab,1
extra,topping,extra topping,0
food,coffee,food coffee,0
flatbread,smoked,flatbread smoked,0
super,stuffed,super stuffed,0
piece,butter,piece butter,0
dog,spicy,dog spicy,0
spinach,lemon,spinach lemon,0
dry,paella,dry paella,1
egg,swiss,egg swiss,1
toseeroll,pokebar,toseeroll pokebar,1
beer,strip,beer strip,0
sandwich,ciabattum,sandwich ciabattum,1
carne,burrito,carne burrito,1
brioche,bread,brioche bread,0
fresh,mushroom,fresh mushroom,1
paneer,garlic,paneer garlic,0
crusted,charred,crusted charred,1
raspberry,mousse,raspberry mousse,0
crunchy,beef,crunchy beef,0
fish,beef,fish beef,0
stuffed,shrimp,stuffed shrimp,1
honey,espresso,honey espresso,0
sandwich,bird,sandwich bird,0
mango,marinated,mango marinated,1
came,burnt,came burnt,0
mediterranean,pickle,mediterranean pickle,0
bun,lunch,bun lunch,0
roll,lamb,roll lamb,1
walnut,brownie,walnut brownie,0
kale,brussel,kale brussel,0
combo,rice,combo rice,0
parmesan,served,parmesan served,0
coffee,boston,coffee boston,1
pitum,endoedible,pitum endoedible,0
lobster,roll,lobster roll,1
tofu,katsu,tofu katsu,0
shrimp,blue,shrimp blue,1
carne,plate,carne plate,1
dark,milk,dark milk,0
chocolate,pancake,chocolate pancake,1
nacho,spicy,nacho spicy,0
sushi,toro,sushi toro,0
kimchi,soup,kimchi soup,0
meat,roll,meat roll,1
cheesecake,stuffed,cheesecake stuffed,0
potato,french,potato french,1
toffee,cake,toffee cake,0
steak,pea,steak pea,1
creme,deliciou,creme deliciou,0
lobster,salad,lobster salad,1
buttercream,sauce,buttercream sauce,1
pancake,little,pancake little,0
medium,maki,medium maki,0
bean,side,bean side,0
duck,bun,duck bun,0
pancake,order,pancake order,0
muffin,candied,muffin candied,0
salad,ravioli,salad ravioli,1
cooky,marshmallow,cooky marshmallow,0
veal,chop,veal chop,0
fruit,jelly,fruit jelly,0
adobo,taco,adobo taco,0
bean,dessert,bean dessert,0
soft,truffle,soft truffle,0
cheese,nut,cheese nut,1
gyoza,golden,gyoza golden,0
thyme,endoedible,thyme endoedible,0
cheesecake,cotton,cheesecake cotton,0
banana,chocolate,banana chocolate,0
taquito,avocado,taquito avocado,1
veggie,benedict,veggie benedict,0
pork,parmesan,pork parmesan,0
bacon,cream,bacon cream,0
crab,dumpling,crab dumpling,1
free,cookie,free cookie,0
poached,house,poached house,0
big,pancake,big pancake,0
more,red,more red,0
sushi,plate,sushi plate,1
charcuterie,board,charcuterie board,1
juice,glass,juice glass,0
burratum,basil,burratum basil,0
ground,herb,ground herb,0
unagi,tempura,unagi tempura,0
special,thanksgiving,special thanksgiving,0
filled,dumpling,filled dumpling,0
dinner,appetizer,dinner appetizer,0
doughnut,cake,doughnut cake,0
chili,white,chili white,0
seafood,pad,seafood pad,0
chive,egg,chive egg,0
puree,nori,puree nori,0
wonton,egg,wonton egg,0
avocado,goat,avocado goat,0
red,flavor,red flavor,0
marinara,melted,marinara melted,0
olife,rosemary,olife rosemary,1
leafe,aged,leafe aged,1
pulled,avocado,pulled avocado,0
dog,crepe,dog crepe,0
onion,steak,onion steak,0
chilled,bean,chilled bean,0
grilled,strip,grilled strip,0
guacamole,salad,guacamole salad,1
ordered,dry,ordered dry,0
glaze,honey,glaze honey,0
wrapped,chorizo,wrapped chorizo,0
yogurt,truffle,yogurt truffle,0
olive,garlic,olive garlic,0
onion,cooked,onion cooked,0
bean,cheese,bean cheese,0
breakfast,arepa,breakfast arepa,0
tail,tempura,tail tempura,0
cheese,artichoke,cheese artichoke,0
unagi,crispy,unagi crispy,0
fish,plate,fish plate,0
cheese,panini,cheese panini,1
protein,poke,protein poke,1
shredded,seaweed,shredded seaweed,0
cheese,py,cheese py,1
pizza,spinach,pizza spinach,0
sandwich,fennel,sandwich fennel,0
nacho,seafood,nacho seafood,0
seaweed,roll,seaweed roll,1
white,tuna,white tuna,1
old,fry,old fry,0
duck,curry,duck curry,0
cajun,mango,cajun mango,0
sour,sauce,sour sauce,1
seasonal,flavor,seasonal flavor,0
special,road,special road,0
deliciou,hollandaise,deliciou hollandaise,0
basil,half,basil half,0
benedict,poached,benedict poached,0
sashimi,platter,sashimi platter,0
dried,bean,dried bean,0
unagi,bento,unagi bento,0
rib,loui,rib loui,0
chorizo,crispy,chorizo crispy,1
caramelized,fennel,caramelized fennel,1
caramelized,squash,caramelized squash,0
nacho,margaritum,nacho margaritum,1
asian,walnut,asian walnut,1
deliciou,chimichanga,deliciou chimichanga,1
jalapeno,hummu,jalapeno hummu,0
minced,fatty,minced fatty,0
fresh,pistachio,fresh pistachio,1
squash,maple,squash maple,0
peach,pie,peach pie,0
chicken,fillet,chicken fillet,1
basil,sun,basil sun,1
tuna,waffle,tuna waffle,0
egg,toasted,egg toasted,1
salad,korean,salad korean,1
charred,corn,charred corn,1
special,bbq,special bbq,1
nori,extra,nori extra,0
ricottum,honey,ricottum honey,0
breadstick,cheese,breadstick cheese,1
cooked,big,cooked big,0
topped,poached,topped poached,0
deliciou,flavor,deliciou flavor,0
cake,asparagu,cake asparagu,1
sausage,basil,sausage basil,0
cured,snapper,cured snapper,0
dish,takoyaki,dish takoyaki,0
brownie,coconut,brownie coconut,0
squash,beet,squash beet,0
shank,hummu,shank hummu,1
bourbon,pineapple,bourbon pineapple,0
berry,dark,berry dark,0
american,pie,american pie,0
egg,maple,egg maple,1
orange,soy,orange soy,0
stew,minced,stew minced,1
smoked,pulled,smoked pulled,0
salmon,cake,salmon cake,0
soft,caramel,soft caramel,0
beef,shrimp,beef shrimp,0
indian,sweet,indian sweet,0
garlic,bun,garlic bun,0
served,dinner,served dinner,0
fried,avocado,fried avocado,1
yellow,cake,yellow cake,0
roasted,seabass,roasted seabass,1
fry,huge,fry huge,0
gravy,fresh,gravy fresh,0
roasted,cashew,roasted cashew,1
bbq,style,bbq style,0
pick,chicken,pick chicken,0
puree,garlic,puree garlic,0
homemade,braised,homemade braised,0
tomato,biscuit,tomato biscuit,0
broth,lobster,broth lobster,0
pork,filling,pork filling,1
creamy,homemade,creamy homemade,0
belly,bun,belly bun,0
egg,korean,egg korean,0
sour,pork,sour pork,0
fudge,sunday,fudge sunday,0
honey,love,honey love,1
bean,meat,bean meat,0
soup,sesame,soup sesame,0
roll,coconut,roll coconut,1
mini,chashu,mini chashu,1
fry,beer,fry beer,0
spaghetti,seafood,spaghetti seafood,0
kimchi,hushpuppy,kimchi hushpuppy,1
fondue,sriracha,fondue sriracha,1
pork,traditional,pork traditional,1
sorbet,topping,sorbet topping,0
glazed,chocolate,glazed chocolate,0
fritter,dough,fritter dough,0
old,cheeseburger,old cheeseburger,0
chef,meal,chef meal,0
burrito,combo,burrito combo,0
apple,bite,apple bite,0
cheese,salad,cheese salad,1
noodle,scrambled,noodle scrambled,1
white,asparagu,white asparagu,0
dry,salty,dry salty,0
garlic,ball,garlic ball,0
roasted,poached,roasted poached,0
empanada,grilled,empanada grilled,1
flavor,breakfast,flavor breakfast,0
peach,fry,peach fry,0
cream,base,cream base,0
spinach,salad,spinach salad,1
house,blueberry,house blueberry,0
fruit,tart,fruit tart,0
ribeye,mushroom,ribeye mushroom,0
topped,black,topped black,0
rice,coconut,rice coconut,0
sandwich,white,sandwich white,0
salmon,watermelon,salmon watermelon,0
homemade,marinara,homemade marinara,0
sun,tofu,sun tofu,0
parmesan,roasted,parmesan roasted,0
doughnut,dough,doughnut dough,0
bread,sugar,bread sugar,1
complimentary,banchan,complimentary banchan,1
spicy,fish,spicy fish,1
crab,salt,crab salt,0
benedict,trio,benedict trio,1
little,basket,little basket,1
bowl,topped,bowl topped,0
house,shrimp,house shrimp,0
potato,matcha,potato matcha,0
pepper,hong,pepper hong,0
chicken,garbanzo,chicken garbanzo,0
soi,shrimp,soi shrimp,0
spiced,tomato,spiced tomato,1
fish,charcoal,fish charcoal,0
french,dry,french dry,0
steak,kalbi,steak kalbi,0
chef,chopped,chef chopped,1
bowl,tortilla,bowl tortilla,0
spicy,shoyu,spicy shoyu,1
fabulou,food,fabulou food,1
spiced,sauce,spiced sauce,0
margaritum,fresh,margaritum fresh,0
bacon,fried,bacon fried,0
scallop,black,scallop black,0
ground,burger,ground burger,0
extra,aged,extra aged,0
takoyaki,crispy,takoyaki crispy,0
white,mango,white mango,0
alcohol,infused,alcohol infused,1
smoked,atlantic,smoked atlantic,1
egg,salty,egg salty,0
fruit,free,fruit free,0
bagel,salsa,bagel salsa,0
pizza,pick,pizza pick,0
tempura,kimchi,tempura kimchi,0
cheesy,steak,cheesy steak,0
sushi,iced,sushi iced,0
fried,baked,fried baked,0
double,pan,double pan,0
yummy,cheese,yummy cheese,0
order,spicy,order spicy,0
chicken,blue,chicken blue,0
foodie,seasonal,foodie seasonal,0
house,porchettum,house porchettum,0
vegan,tempura,vegan tempura,0
vegetable,topped,vegetable topped,0
egg,mashed,egg mashed,1
special,spicy,special spicy,1
fried,basil,fried basil,0
lemon,meringue,lemon meringue,0
brunch,bacon,brunch bacon,0
salted,pork,salted pork,1
piece,bowl,piece bowl,0
mascarpone,filling,mascarpone filling,0
spinach,pizza,spinach pizza,0
hawaiian,filet,hawaiian filet,0
chicken,wrap,chicken wrap,0
cocktail,chili,cocktail chili,0
special,sushi,special sushi,0
hot,soft,hot soft,0
salad,antipasto,salad antipasto,1
fried,dill,fried dill,1
food,christma,food christma,0
egg,noodle,egg noodle,0
pastum,egg,pastum egg,0
half,thyme,half thyme,0
veggie,side,veggie side,0
potato,arugula,potato arugula,0
fruity,dessert,fruity dessert,0
pork,tonkatsu,pork tonkatsu,1
jalapeno,cilantro,jalapeno cilantro,0
deliciou,home,deliciou home,0
pad,yummy,pad yummy,0
avocado,cream,avocado cream,0
donut,bite,donut bite,0
food,brisket,food brisket,0
pastrami,brioche,pastrami brioche,0
orange,beer,orange beer,0
waffle,sundae,waffle sundae,0
serving,brunch,serving brunch,0
honey,strawberry,honey strawberry,0
wrap,sweet,wrap sweet,0
cake,beef,cake beef,1
peanut,lemon,peanut lemon,0
sweet,poutine,sweet poutine,1
octopus,spicy,octopus spicy,1
crab,stick,crab stick,1
ordered,pork,ordered pork,0
mix,lobster,mix lobster,0
served,cotton,served cotton,0
caramel,road,caramel road,0
cupcake,stuff,cupcake stuff,1
sea,yuzu,sea yuzu,0
fried,pig,fried pig,0
banh,burger,banh burger,0
fruity,marshmallow,fruity marshmallow,0
blueberry,basil,blueberry basil,0
flavor,scratch,flavor scratch,0
fruit,caramel,fruit caramel,0
wine,cupcake,wine cupcake,0
tasty,butter,tasty butter,0
herb,lemon,herb lemon,0
apple,muffin,apple muffin,0
onion,pork,onion pork,0
fish,big,fish big,0
blend,spice,blend spice,0
bowl,flavour,bowl flavour,1
beef,style,beef style,0
baked,bbq,baked bbq,0
chip,tuna,chip tuna,0
sticky,toffee,sticky toffee,0
roast,cheddar,roast cheddar,0
tart,mousse,tart mousse,0
apricot,creme,apricot creme,0
bourbon,potato,bourbon potato,0
grape,salted,grape salted,0
spicy,mango,spicy mango,1
vegan,raw,vegan raw,0
sesame,honey,sesame honey,0
fried,goat,fried goat,0
spice,cake,spice cake,0
sweet,tasty,sweet tasty,0
strawberry,harvest,strawberry harvest,1
chocolate,rose,chocolate rose,0
fish,sauce,fish sauce,1
classic,bruschettum,classic bruschettum,0
parmigiana,pastum,parmigiana pastum,0
salami,red,salami red,0
savory,juice,savory juice,0
turkey,reuben,turkey reuben,1
lentil,salad,lentil salad,1
thai,boat,thai boat,0
traditional,love,traditional love,0
egg,fried,egg fried,1
pizza,hawaiian,pizza hawaiian,0
muffin,salted,muffin salted,0
orange,walnut,orange walnut,0
pico,jalapeno,pico jalapeno,0
hawaiian,mushroom,hawaiian mushroom,0
strawberry,jam,strawberry jam,0
peanut,cauliflower,peanut cauliflower,0
lamb,shank,lamb shank,0
sesame,noodle,sesame noodle,0
bean,taco,bean taco,0
chicken,marinated,chicken marinated,1
grass,lime,grass lime,0
bowl,sushi,bowl sushi,0
sirloin,blue,sirloin blue,0
flauta,potato,flauta potato,1
pork,food,pork food,0
cheese,broccolini,cheese broccolini,0
doughnut,hot,doughnut hot,0
honey,chicken,honey chicken,1
brussel,dish,brussel dish,0
aged,ricottum,aged ricottum,0
style,papaya,style papaya,0
medium,steak,medium steak,0
cheese,grilled,cheese grilled,1
pizza,combination,pizza combination,0
egg,minced,egg minced,0
mochi,condensed,mochi condensed,0
scallop,salmon,scallop salmon,0
olife,confit,olife confit,0
poutine,soup,poutine soup,0
arepa,fry,arepa fry,0
turkey,sandwich,turkey sandwich,1
duck,parmesan,duck parmesan,0
lemonade,blackberry,lemonade blackberry,0
juice,fresh,juice fresh,1
mix,beef,mix beef,0
zucchini,pepper,zucchini pepper,0
bacon,radish,bacon radish,0
topped,melted,topped melted,0
flan,syrup,flan syrup,0
shrimp,sweet,shrimp sweet,1
cake,split,cake split,0
dried,fresh,dried fresh,0
fried,donut,fried donut,1
small,rice,small rice,0
corn,muffin,corn muffin,0
super,nutritiou,super nutritiou,0
chicken,caprese,chicken caprese,0
tomato,rigatoni,tomato rigatoni,0
yaki,soba,yaki soba,1
lavender,olive,lavender olive,0
italian,apple,italian apple,0
cream,ball,cream ball,0
salsa,black,salsa black,0
cauliflower,kimchi,cauliflower kimchi,0
fritter,chorizo,fritter chorizo,0
roll,tasty,roll tasty,0
pizza,nutella,pizza nutella,0
rose,salmon,rose salmon,0
lettuce,cabbage,lettuce cabbage,0
banchan,complimentary,banchan complimentary,1
little,dog,little dog,0
creamy,spot,creamy spot,0
white,roll,white roll,0
sorbet,ye,sorbet ye,0
prosciutto,apple,prosciutto apple,0
crispy,cooked,crispy cooked,0
hamachi,tostada,hamachi tostada,0
cup,bread,cup bread,0
pizza,burnt,pizza burnt,0
takoyaki,sampler,takoyaki sampler,0
fish,scallop,fish scallop,0
beef,ribeye,beef ribeye,0
pork,sandwhich,pork sandwhich,1
cabbage,soup,cabbage soup,0
chicken,texa,chicken texa,0
friend,cheesecake,friend cheesecake,0
baked,yam,baked yam,0
shrimp,chive,shrimp chive,0
slice,sliced,slice sliced,0
chicken,mousse,chicken mousse,0
steak,sushi,steak sushi,0
old,crispy,old crispy,0
sweet,fire,sweet fire,0
salmon,atlantic,salmon atlantic,1
belly,sriracha,belly sriracha,0
lobster,cheese,lobster cheese,0
love,sandwich,love sandwich,0
double,spicy,double spicy,0
large,share,large share,0
leafe,hummu,leafe hummu,0
pickle,topped,pickle topped,0
dumpling,piece,dumpling piece,0
rice,wing,rice wing,0
iced,tea,iced tea,1
taco,turf,taco turf,0
dressing,small,dressing small,0
roll,chirashi,roll chirashi,1
chicken,avocado,chicken avocado,0
sea,wrap,sea wrap,0
salatum,cheese,salatum cheese,1
spanish,black,spanish black,0
soy,order,soy order,0
pig,bao,pig bao,0
fruity,ice,fruity ice,0
marrow,tartare,marrow tartare,0
rib,red,rib red,0
flavor,caramel,flavor caramel,0
crunchy,crispy,crunchy crispy,0
rice,double,rice double,0
ricottum,toast,ricottum toast,0
get,flavor,get flavor,0
monster,taiyaki,monster taiyaki,0
veggie,pork,veggie pork,0
greek,dolmade,greek dolmade,0
meatloaf,ginger,meatloaf ginger,0
vanilla,frosting,vanilla frosting,0
aioli,fried,aioli fried,0
fried,masala,fried masala,0
poke,shishito,poke shishito,1
chip,piece,chip piece,0
cheese,stuffed,cheese stuffed,0
char,paneer,char paneer,0
flavor,combination,flavor combination,0
bread,salsa,bread salsa,0
kalbi,rib,kalbi rib,0
brisket,fatty,brisket fatty,0
toast,marshmallow,toast marshmallow,0
came,duck,came duck,0
broccolini,salad,broccolini salad,1
cookie,souffle,cookie souffle,1
seaweed,wasabi,seaweed wasabi,0
salsa,crema,salsa crema,0
berry,toasted,berry toasted,0
crispy,flavorful,crispy flavorful,0
red,chile,red chile,0
pie,aka,pie aka,0
chocolate,brussel,chocolate brussel,0
meal,white,meal white,0
bacon,roll,bacon roll,1
beet,arugula,beet arugula,0
raspberry,tart,raspberry tart,0
pork,cream,pork cream,1
peanut,gelato,peanut gelato,0
octopus,korean,octopus korean,0
aioli,pickle,aioli pickle,0
chile,mushroom,chile mushroom,0
roasted,breast,roasted breast,0
sliced,turkey,sliced turkey,0
mushroom,chili,mushroom chili,0
mousse,custard,mousse custard,0
iced,classic,iced classic,0
love,fried,love fried,0
chicken,style,chicken style,0
layered,peanut,layered peanut,0
nut,lotu,nut lotu,0
apricot,fresh,apricot fresh,0
doughnut,peanut,doughnut peanut,0
fudge,pineapple,fudge pineapple,0
toast,avocado,toast avocado,0
pie,filling,pie filling,0
cheese,scone,cheese scone,1
steak,chorizo,steak chorizo,0
table,nacho,table nacho,0
cute,serving,cute serving,0
fritter,glaze,fritter glaze,0
style,roasted,style roasted,0
cauliflower,soup,cauliflower soup,0
biscuit,scrambled,biscuit scrambled,1
apple,fennel,apple fennel,0
ordered,extra,ordered extra,0
katsu,moco,katsu moco,0
salad,mild,salad mild,0
crunch,raspberry,crunch raspberry,0
protein,bowl,protein bowl,0
aioli,salsa,aioli salsa,0
little,salty,little salty,0
slice,alfredo,slice alfredo,0
crispy,salmon,crispy salmon,1
mini,roll,mini roll,0
beef,stuff,beef stuff,1
mium,lunch,mium lunch,0
rice,yummy,rice yummy,0
turkey,bacon,turkey bacon,0
coffee,gelato,coffee gelato,1
sandwich,hot,sandwich hot,0
turkey,bone,turkey bone,1
banana,ham,banana ham,0
pastry,peach,pastry peach,0
southern,style,southern style,0
roasted,cauliflower,roasted cauliflower,0
mozzarella,ravioli,mozzarella ravioli,0
brisket,cheese,brisket cheese,0
cod,benedict,cod benedict,0
cheese,burger,cheese burger,1
cheesy,stuff,cheesy stuff,0
agnolotti,truffle,agnolotti truffle,0
super,small,super small,0
turkey,leg,turkey leg,0
brussel,shrimp,brussel shrimp,0
sun,potato,sun potato,0
style,beef,style beef,0
caramel,gelato,caramel gelato,0
quesadilla,combo,quesadilla combo,0
veggie,shrimp,veggie shrimp,0
deliciou,rib,deliciou rib,0
meat,stuffed,meat stuffed,0
ribeye,sweet,ribeye sweet,0
fry,basil,fry basil,0
mixed,salami,mixed salami,0
chop,shredded,chop shredded,0
soba,bowl,soba bowl,1
kaftum,beef,kaftum beef,1
cake,served,cake served,0
shrimp,garlic,shrimp garlic,0
fry,burger,fry burger,0
balsamic,vinaigrette,balsamic vinaigrette,1
brisket,chicken,brisket chicken,1
cheese,brioche,cheese brioche,0
indian,black,indian black,0
basil,fresh,basil fresh,0
meat,crispy,meat crispy,0
pecan,pancake,pecan pancake,0
spinach,roasted,spinach roasted,0
charcuterie,prosciutto,charcuterie prosciutto,0
small,meat,small meat,0
dried,tomato,dried tomato,0
sweet,red,sweet red,0
lemon,basil,lemon basil,0
pepper,szechuan,pepper szechuan,1
kimchi,shrimp,kimchi shrimp,0
chicken,carbonara,chicken carbonara,0
pie,pumpkin,pie pumpkin,1
chile,bean,chile bean,0
glazed,quail,glazed quail,1
complimentary,croissant,complimentary croissant,1
lobster,curry,lobster curry,0
turkey,sour,turkey sour,0
chicken,pomodoro,chicken pomodoro,0
lobster,lime,lobster lime,0
valley,meat,valley meat,0
pita,spicy,pita spicy,1
pico,guacamole,pico guacamole,0
beef,sandwhich,beef sandwhich,1
custard,fresh,custard fresh,0
order,carne,order carne,0
herb,box,herb box,0
relleno,cheese,relleno cheese,0
meal,fat,meal fat,1
basil,ricottum,basil ricottum,0
soft,swirl,soft swirl,0
nut,coffee,nut coffee,0
caramelized,belgian,caramelized belgian,1
old,sugar,old sugar,0
fry,iced,fry iced,0
drizzled,warm,drizzled warm,0
filet,black,filet black,0
gelato,dark,gelato dark,0
belly,pickled,belly pickled,0
free,appetizer,free appetizer,0
flavor,hot,flavor hot,0
radish,carrot,radish carrot,0
chai,cold,chai cold,1
savory,garlic,savory garlic,0
ground,mexican,ground mexican,0
charcoal,white,charcoal white,0
bean,minced,bean minced,0
cottum,cake,cottum cake,1
sweet,dry,sweet dry,0
basil,burratum,basil burratum,0
lamb,mini,lamb mini,0
bacon,chipotle,bacon chipotle,0
topped,white,topped white,0
thai,chile,thai chile,0
sandwich,fry,sandwich fry,0
mochi,tea,mochi tea,0
blue,mustard,blue mustard,0
hojicha,custard,hojicha custard,0
cranberry,gorgonzola,cranberry gorgonzola,0
potato,bacon,potato bacon,0
wrap,small,wrap small,0
kabob,kaftum,kabob kaftum,1
smoked,pastrami,smoked pastrami,1
sea,fresh,sea fresh,0
salmon,brioche,salmon brioche,0
dog,phoenix,dog phoenix,0
shrimp,apple,shrimp apple,0
sauce,curd,sauce curd,0
sushi,omakase,sushi omakase,0
treat,breakfast,treat breakfast,0
cracker,ice,cracker ice,0
lamb,pizza,lamb pizza,0
asada,red,asada red,0
pesto,complimentary,pesto complimentary,1
spicy,bowl,spicy bowl,0
pico,toast,pico toast,0
soft,sweet,soft sweet,0
fry,chili,fry chili,0
roll,dressing,roll dressing,0
roasted,harvest,roasted harvest,1
basil,crostini,basil crostini,0
garden,pizza,garden pizza,0
chicken,pepperoni,chicken pepperoni,0
rib,fresh,rib fresh,0
mocha,iced,mocha iced,0
waffle,sandwich,waffle sandwich,0
bento,spicy,bento spicy,0
closeup,almond,closeup almond,1
winter,harvest,winter harvest,1
coconut,toast,coconut toast,0
turf,lamb,turf lamb,0
pear,tart,pear tart,0
ordered,combo,ordered combo,0
carrot,peanut,carrot peanut,0
homemade,pan,homemade pan,0
spam,burger,spam burger,0
spicy,teriyaki,spicy teriyaki,0
gravy,egg,gravy egg,0
dessert,deliciou,dessert deliciou,0
fried,cheesecake,fried cheesecake,0
chicken,puree,chicken puree,1
sweet,sound,sweet sound,0
hummu,platter,hummu platter,0
vanilla,bite,vanilla bite,0
mango,greek,mango greek,0
oxtail,crostini,oxtail crostini,1
wasabi,fresh,wasabi fresh,0
salt,chicken,salt chicken,1
sugar,cinnamon,sugar cinnamon,0
spice,truffle,spice truffle,0
pizza,bread,pizza bread,0
rosemary,burratum,rosemary burratum,0
spinach,tuna,spinach tuna,0
endoedible,oreo,endoedible oreo,0
nut,tart,nut tart,0
heart,old,heart old,0
oreo,sugar,oreo sugar,0
seared,albacore,seared albacore,0
thai,tofu,thai tofu,0
granola,parfait,granola parfait,1
carrot,butter,carrot butter,0
